NH,14783.99588,3995559.755
Strategy4,14888.5663,4417423.347
Strategy3,14887.8082,4418456.876
Strategy5,14886.78596,4428889.208
Strategy2,14885.95681,4459923.192
Strategy1,14883.7994,4489263.777
Strategy33,14879.2257,4515637.764
Strategy10,14934.03783,5484048.263
Strategy8,14936.01497,5487768.816
Strategy9,14935.56073,5492119.904
Strategy7,14933.65847,5542008.568
Strategy6,14931.21178,5593672.95
Strategy34,14926.65115,5653208.764
Strategy15,14981.03657,6738739.057
Strategy14,14983.78138,6751364.03
Strategy13,14984.65928,6774739.92
Strategy12,14984.63828,6872085.67
Strategy11,14983.81968,6942497.633
Strategy35,14977.72526,7096752.673
Strategy19,14995.20719,7243829.942
Strategy20,14990.8922,7247369.912
Strategy18,14996.85847,7267099.514
Strategy17,14997.81009,7394437.833
Strategy16,14997.35405,7490365.395
Strategy36,14995.01112,7641107.926
Strategy25,15003.60731,8108268.608
Strategy24,15008.12991,8124406.795
Strategy23,15010.8729,8172583.434
Strategy22,15012.24297,8294858.539
Strategy21,15011.06259,8414388.471
Strategy37,15009.73836,8633654.294
Strategy29,15016.16914,9626244.567
Strategy28,15018.97236,9686315.995
Strategy27,15023.41251,9853113.104
Strategy26,15023.03861,9962797.175
Strategy38,15022.11542,10230363.57
Strategy32,15016.88326,13995288.14
Strategy31,15019.20401,14242932.86
Strategy30,15020.37232,14418149.81
Strategy39,15022.35299,14797043.65
